Parcela;Especie;DAP
1;Araucaria angustifolia;34.5
1;Ocotea porosa;56.2
1;Ocotea pulchella;13.4
1;Maytenus ilicifolia;10.2
1;Ilex paraguariensis;10.9
1;Campomanesia xanthocarpa;24.7
1;Drymis brasiliensis;23.8
1;Allophyllus edulis;13.1
1;Matayba eleagnoides;31
1;Cupania vernalis;10
1;Capsicodendron dinnisii;21.9
1;Araucaria angustifolia;76.6
1;Araucaria angustifolia;45.9
1;Ilex paraguariensis;23
1;Matayba eleagnoides;17.9
1;Araucaria angustifolia;29.9
1;Campomanesia xanthocarpa;17.6
1;Ilex paraguariensis;13.9
1;Allophyllus edulis;12.1
1;Ilex paraguariensis;11.3
1;Vernonia discolor;23.8
2;Ilex paraguariensis;14.5
2;Nectandra grandiflora;13.5
2;Eugenia uniflora;13.2
2;Campomanesia xanthocarpa;22
2;Araucaria angustifolia;34.6
2;Matayba eleagnoides;32
2;Mimosa scabrella;28
2;Araucaria angustifolia;134
2;Ilex paraguariensis;19.5
2;Sapium glandulatum;12.9
2;Schinus terebinthifolius;23.5
2;Ilex paraguariensis;35
2;Araucaria angustifolia;19
2;Ilex paraguariensis;27
2;Ilex paraguariensis;17.6
2;Araucaria angustifolia;50.7
2;Nectandra grandiflora;16.9
2;Nectandra megapotamica;32.7
2;Araucaria angustifolia;44.8
2;Ilex paraguariensis;21
2;Luehea divaricata;34.5
2;Cedrela fissilis;38.6
2;Matayba eleagnoides;23.8
3;Piptocarpha angustifolia;27.9
3;Ilex paraguariensis;17.5
3;Ilex paraguariensis;26
3;Campomanesia xanthocarpa;22
3;Araucaria angustifolia;45
3;Matayba eleagnoides;28.7
3;Matayba eleagnoides;19.7
3;Araucaria angustifolia;48
3;Nectandra megapotamica;15.6
3;Ocotea porosa;78.9
3;Ilex paraguariensis;23
3;Ilex paraguariensis;16
3;Araucaria angustifolia;56
3;Ilex paraguariensis;23.6
3;Ilex paraguariensis;19.9
3;Araucaria angustifolia;25.6
3;Matayba eleagnoides;27.6
3;Nectandra grandiflora;19.8
3;Araucaria angustifolia;18.9
3;Ilex paraguariensis;10.1
3;Mimosa scabrella;27
3;Schinus terebinthifolius;21
3;Allophyllus edulis;18.4
3;Ilex dumosa;35.7
3;Tabebuia avellanedae;29.6
3;Sapium glandulatum;23.6
